QuickSight,Amazon QuickSight,
Redshift,Amazon Redshift,
Rekognition,Amazon Rekognition,
Relational Database Service,Amazon Relational Database Service (Amazon RDS), Amazon RDS
Remote Configuration,Amazon Remote Configuration,Remote Configuration
Route 53,Amazon Route 53,Route 53
SageMaker,Amazon SageMaker,
Schema Conversion Tool,AWS Schema Conversion Tool, AWS SCT
Secrets Manager,AWS Secrets Manager, Secrets Manager
Security Token Service,AWS Security Token Service (AWS STS),AWS STS
Server Migration Service,AWS Server Migration Service (AWS SMS) ,AWS SMS 
Serverless Application Repository,AWS Serverless Application Repository ,
Service Catalog,AWS Service Catalog,
Service Health Dashboard,AWS Service Health Dashboard,Service Health Dashboard
Shield,AWS Shield,
Silk,Amazon Silk,Silk
Simple Email Service,Amazon Simple Email Service (Amazon SES), Amazon SES
Simple Notification Service,Amazon Simple Notification Service (Amazon SNS), Amazon SNS
Simple Queue Service,Amazon Simple Queue Service (Amazon SQS), Amazon SQS
Simple Storage Service,Amazon Simple Storage Service (Amazon S3), Amazon S3
Simple Workflow Service,Amazon Simple Workflow Service (Amazon SWF), Amazon SWF
SimpleDB,Amazon SimpleDB, SimpleDB
Single Sign-On,AWS Single Sign-On, AWS SSO
Snowball,AWS Snowball, Snowball
Snowmobile,AWS Snowmobile,Snowmobile
Step Functions,AWS Step Functions,Step Functions
Storage Gateway,AWS Storage Gateway,Storage Gateway
Sumerian,Amazon Sumerian,Sumerian
Support,AWS Support,Support
Systems Manager,AWS Systems Manager, Systems Manager
SDK for Android,AWS Mobile SDK for Android,Mobile SDK for Android
SDK for C++,AWS SDK for C++,SDK for C++
SDK for Go,AWS SDK for Go,SDK for Go
SDK for iOS,AWS Mobile SDK for iOS,Mobile SDK for iOS
SDK for Java,AWS SDK for Java,SDK for Java
SDK for JavaScript in the Browser,AWS SDK for JavaScript in the Browser,SDK for JavaScript in the Browser 
SDK for JavaScript in Node.js,AWS SDK for JavaScript in Node.js,SDK for JavaScript in Node.js 
SDK for .NET,AWS SDK for .NET,SDK for .NET
SDK for .NET and Xamarin,AWS SDK for .NET and Xamarin,SDK for .NET and Xamarin
SDK for PHP,AWS SDK for PHP,SDK for PHP
SDK for Python (boto),AWS SDK for Python (boto),SDK for Python
SDK for Ruby,AWS SDK for Ruby,SDK for Ruby
SDK for Unity,AWS Mobile SDK for Unity,Mobile SDK for Unity
Toolkit for Eclipse,AWS Toolkit for Eclipse,Toolkit for Eclipse
Toolkit for Visual Studio,AWS Toolkit for Visual Studio,Toolkit for Visual Studio
Tools for VSTS,AWS Tools for Microsoft Visual Studio Team Services,AWS Tools for VSTS
Tools for PowerShell,AWS Tools for PowerShell,Tools for PowerShell 
Translate,Amazon Translate,
Transcribe,Amazon Transcribe,
Trusted Advisor,AWS Trusted Advisor,Trusted Advisor
VPC,Amazon Virtual Private Cloud (Amazon VPC),Amazon VPC
WAF,AWS WAF,
WorkDocs,Amazon WorkDocs,WorkDocs
WorkMail,Amazon WorkMail,WorkMail
WorkSpaces,Amazon WorkSpaces,
WAM,Amazon WorkSpaces Application Manager (Amazon WAM),Amazon WAM
X-Ray,AWS X-Ray,X-Ray
